name,type_of,member_of,attribute_type_set,relation_type_set,collection_set
Place,[],"[""factory_types""]",[],[],[]
Country,"[""Place""]","[""factory_types""]",[],[],[]
State,"[""Place""]","[""factory_types""]",[],[],[]
District,"[""Place""]","[""factory_types""]",[],[],[]
Organization,[],"[""factory_types""]",[],[],[]
University,"[""Organization""]","[""factory_types""]",[],[],[]
College,"[""Organization""]","[""factory_types""]",[],[],[]
Course,[],"[""factory_types""]",[],[],[]
NUSSD Course,"[""Course""]","[""factory_types""]",[],[],[]
Announced Course,"[""Course""]","[""factory_types""]",[],[],[]
Caste,[],"[""factory_types""]",[],[],[]
Person,[],"[""factory_types""]",[],[],[]
Student,"[""Person""]","[""factory_types""]",[],[],[]
Voluntary Teacher,"[""Person""]","[""factory_types""]",[],[],[]
Master Trainer,"[""Person""]","[""factory_types""]",[],[],[]
Faculty Coordinator,"[""Person""]","[""factory_types""]",[],[],[]
NSS Coordinator,"[""Person""]","[""factory_types""]",[],[],[]
Course Developer,"[""Person""]","[""factory_types""]",[],[],[]
Partners,"[""Person""]","[""factory_types""]",[],[],[]
Program Manager,"[""Person""]","[""factory_types""]",[],[],[]
Event,[],"[""GAPP""]",[],[],[]
Inauguration,"[""Event""]","[""factory_types""]",[],[],[]
Field Visit,"[""Event""]","[""factory_types""]",[],[],[]
Meeting,"[""Event""]","[""factory_types""]",[],[],[]
Orientation,"[""Event""]","[""factory_types""]",[],[],[]
Master Trainer Program,"[""Event""]","[""factory_types""]",[],[],[]
Training of Teachers,"[""Event""]","[""factory_types""]",[],[],[]
Course Developers Meeting,"[""Event""]","[""factory_types""]",[],[],[]
Session,"[""Event""]","[""factory_types""]",[],[],[]
Classroom Session,"[""Event""]","[""factory_types""]",[],[],[]
Lab Session,"[""Event""]","[""factory_types""]",[],[],[]
Exam,"[""Event""]","[""factory_types""]",[],[],[]
Enrollment,[],"[""factory_types""]",[],[],[]
StudentCourseEnrollment,"[""Enrollment""]","[""factory_types""]",[],[],[]
CourseSection,[],"[""factory_types""]",[],[],[]
CourseSubSection,[],"[""factory_types""]",[],[],[]
CourseUnit,[],"[""factory_types""]",[],[],[]
GListItem,[],"[""factory_types""]",[],[],[]
CourseSectionEvent,[],"[""factory_types""]",[],[],[]
CourseSubSectionEvent,[],"[""factory_types""]",[],[],[]
CourseUnitEvent,[],"[""factory_types""]",[],[],[]
QuizItem,[],"[""factory_types""]",[],[],[]
Reply,[],"[""factory_types""]",[],[],[]
QuizItemEvent,"[""QuizItem""]","[""factory_types""]",[],[],[]
QuizItemPost,"[""Reply""]","[""factory_types""]",[],[],[]
Jhapp,[],"[""factory_types""]",[],[],[]
Jsmol,"[""Jhapp""]","[""factory_types""]",[],[],[]
TurtleBlocks,"[""Jhapp""]","[""factory_types""]",[],[],[]
Asset,[],"[""factory_types""]",[],[],[]
PoliceSquad,"[""Jhapp""]","[""factory_types""]",[],[],[]
OpenStoryTool,"[""Jhapp""]","[""factory_types""]",[],[],[]
BioMechanics,"[""Jhapp""]","[""factory_types""]",[],[],[]
Page,[],"[""GAPP""]",[],[],[]
File,[],"[""GAPP""]",[],[],[]
Image,[],"[""GAPP""]",[],[],[]
Video,[],"[""GAPP""]",[],[],[]
Template,"[""Page""]","[""factory_types""]",[],[],[]
base_unit,[],"[""factory_types""]",[],[],[]
lesson,[],"[""factory_types""]",[],[],[]
activity,[],"[""factory_types""]",[],[],[]
announced_unit,[],"[""factory_types""]",[],[],[]
trans_node,[],"[""factory_types""]",[],[],[]
base_survey,[],"[""factory_types""]",[],[],[]
announced_survey,[],"[""factory_types""]",[],[],[]
Group,[],"[""GAPP""]",[],[],[]
testimony,[],"[""GAPP""]",[],[],[]
cool_resource,[],"[""GAPP""]",[],[],[]
module,[],"[""GAPP""]",[],[],[]
tutorial,[],"[""GAPP""]",[],[],[]
interactive,[],"[""GAPP""]",[],[],[]
oer,[],"[""GAPP""]",[],[],[]
book,[],"[""GAPP""]",[],[],[]
material,[],"[""GAPP""]",[],[],[]
collection,[],"[""GAPP""]",[],[],[]
Steering Committee Member,"[""Person""]","[""factory_types""]",[],[],"[""Organization"", ""University"", ""College"", ""Course"", ""NUSSD Course"", ""Announced Course"", ""Person"", ""Partners"", ""Program Manager"", ""Steering Committee Member"", ""Faculty Coordinator"", ""Program Officer"", ""NSS Coordinator"", ""Course Developer"", ""Master Trainer"", ""Voluntary Teacher"", ""Student"", ""Enrollment"", ""StudentCourseEnrollment""]"
Program Officer,"[""Person""]","[""factory_types""]",[],[],"[""Person"", ""Student"", ""Enrollment"", ""StudentCourseEnrollment""]"
MIS,[],"[""GAPP""]",[],[],"[""Organization"", ""University"", ""College"", ""Course"", ""NUSSD Course"", ""Announced Course"", ""Person"", ""Partners"", ""Program Manager"", ""Steering Committee Member"", ""Faculty Coordinator"", ""Program Officer"", ""NSS Coordinator"", ""Course Developer"", ""Master Trainer"", ""Voluntary Teacher"", ""Student"", ""Enrollment"", ""StudentCourseEnrollment""]"
MIS-PO,[],"[""GAPP""]",[],[],"[""Person"", ""Voluntary Teacher"", ""Student""]"
Author,[“Person”],"[""factory_types""]",[],[],[]
Notification,[],"[""GAPP""]",[],[],[]
Blog,[],"[""GAPP""]",[],[],[]
Twist,[],"[""factory_types""]",[],[],[]
